day,type,title,author,abstract
Wed,Poster,svdImpute2: An enhanced SVD-based imputation of randomly and non-randomly missing values in proteomics data,"Antonino Zito, Ivo Kwee","-Introduction- Missing values (MVs) reduce the completeness of biological datasets. Compared to other
omics, proteomic data are more severely affected by MVs. Values can miss at random
(MAR) or not at random (MNAR). Both MAR and MNAR data points impact key data
processing steps, including batch effect correction, clustering, and differential expression
tests. Ultimately, MVs reduce discovery power. Removing MVs allow to achieve a fully
complete dataset, but at the cost of losing potentially valuable information. Ideally, MVs
should be accurately recovered, i.e., ”imputed”. How MVs emerge in proteomics is not
well understood. Likewise, it is still unclear what are the best methods and stages for MVs
recovery.
-Methods- To contribute to addressing these questions, we undertook a combinatorial approach. We
used public proteomic datasets to: 1) perform comparison with RNA-seq data; 2) assess
the type of MVs; 3) injected MVs in complete real data and performed comparison
between distinct imputation algorithms. To this end, we employed R meta-packages,
including MSnbase, pcaMethods and NAguideR to conveniently integrate single-value,
global-structure and local-similarity-based imputation methods. Tested methods included
SVD, LLS, BPCA, MsImpute, RF, KNN, QRILC, MLE, MinDet, MinProb; 4) improve the
existing SVD-based imputation to achieve an enhanced algorithm exhibiting superior
performance. -Preliminary data- Comparison between RNA-seq vs. proteomic data revealed substantially different data
distribution. While RNA-seq data typically follow a negative binomial distribution
populating the 0-15 range of values (log2), proteomic intensities may range from minimum
detected intensity of 20 to 40 (log2). Proteomic data may harbor a gap between 0 and
minimum detected intensity. These undetected features -peptides or proteins- are
reported as “NA” (MVs) rather than zero. Owing to this distribution gap, reporting MVs as
zero would skew fold-changes and other statistical measures for low intensities.
Next, we assessed and compared the performance of distinct imputation algorithms. We
injected MAR and MNAR MVs in complete real data and performed imputation. This
approach allowed us to compare imputed points against the original (complete) values.
We observed that both matrix factorization (SVD, NMF) or regression-based methods
(RF, LLS, MLE) can model MAR and MNAR MVs. This would challenge previous reports of model-based methods as only applicable to MARs. Overall, variable behavior is
observed across methods.
RF and BPCA were often the best in terms of accuracy and error, but also among the
slowest methods. Interestingly, svdImpute() provided good balance in terms of accuracy,
robustness and computational efficiency. It is also capable of imputing both MAR and
MNAR MVs, scaling well to large sample sizes. Thus, we aimed to further improve the
current svdImpute().
In svdImpute() the MVs are set to zero at the first iteration. PCA is often performed on the
covariance matrix that has zero mean, however, imputation should not be expected to
have zero mean. This might contribute to a reduced performance of svdImpute(). To
address this problem, we modified the way svdImpute handles MVs at the first iteration.
We also added irlba(). Altogether, our modified algorithm version, “svdImpute2”, exhibited
a 40% improved computation speed when compared to svd() or prcomp().
Novel aspect
svdImpute2() is more robust, and exhibits reduced error rate and runtime than
svdImpute(). It scales very well on large datasets.
Conflict of interest
The presented work has been conceived and conducted at BigOmics Analytics. All
authors are employees of BigOmics Analytics."
Wed,Poster,UPDhmm: Detecting Uniparental Disomy through NGS Trio Data,"Marta Sevilla Porras,Luis Pérez Jurado,Carlos Ruiz-Arenas","Uniparental disomies (UPDs) are rare chromosomal abnormalities in which an individual inherits both copies of a chromosome, or a segment thereof, from a single parent. This genetic anomaly can contribute to disease through recessive mutations or disruptions in genomic imprinting. Despite their clinical relevance, UPDs remain underexplored due to limitations in current detection methods applied to next-generation sequencing (NGS) data. We introduce UPDhmm, a novel bioinformatics tool designed to detect UPD events using NGS data from trios (proband and both parents). By employing a Hidden Markov Model (HMM) to distinguish standard Mendelian inheritance from UPD patterns, UPDhmm enables the accurate identification, classification, and localization of UPD events. Benchmark evaluations using simulated data from both exome and whole-genome sequencing datasets demonstrated that UPDhmm outperforms existing tools, such as UPDio and AltAFplotter, particularly in detecting smaller UPD events while minimizing false positives and accurately classifying UPD subtypes (isodisomy and heterodisomy). A key advantage of UPDhmm is its ability to model both Mendelian inheritance and UPD patterns with enhanced sensitivity, particularly in consanguineous datasets where runs of homozygosity (ROH) can confound detection. By reducing reliance on ROH, UPDhmm provides more accurate results. Its capacity to analyze both exome and whole-genome sequencing data makes it highly applicable in clinical contexts. Additionally, UPDhmm precisely identifies the genomic coordinates of UPD events, a critical feature often lacking in alternative methods. UPDhmm’s efficiency was further validated through its application to real datasets, including data from the Simons Simplex Collection (SSC), a large autism spectrum disorder (ASD) cohort. Two notable UPD events exceeding 10 Mb were exclusively detected in affected children. One case revealed a paternal isodisomy on chromosome 8, overlapping genes CHD7 and VPS13B, both linked to neurodevelopmental disorders. Another case identified a maternal heterodisomy on chromosome 22, involving the ASD-related gene SHANK3 and several imprinted genes. These findings highlight UPDhmm’s potential for discovering clinically relevant UPD events. UPDhmm is available as an R/Bioconductor package, providing accessibility for researchers and clinicians working with NGS datasets. Its performance on both simulated and real datasets underscores its value for uncovering rare genetic variations with clinical significance in undiagnosed rare disease patients, making it a powerful tool for research and diagnostics."
Wed,Poster,Combinatorial Barcoding Meets In Vivo CRISPR: Decoding Context-Dependent Networks via sci-RNA-seq,"Sara Baldinelli,Vaishali Grewal,Michael Dorrity,Stefan Peidli,Michael Boutros,Wolfgang Huber","Through the use of a heat-inducible CRISPR/Cas9 system, we can perturb genes otherwise essential during development in an adult context. Scaling up this experimental approach is the central tool of the DECODE project, founded with the aim of systematically mapping context-dependent genetic networks across dynamic tissues in vivo. Drosophila melanogaster serves as our model system, in which we specifically perturb only cells expressing intestinal stem cell markers. By integrating single-cell transcriptomics and high-resolution imaging of thousands of conditional knockouts, DECODE aims to resolve how genetic networks dynamically adapt their topology across cell types and external stimuli. To achieve organism-scale profiling, we utilize single-cell combinatorial indexing RNA sequencing (sci-RNA-seq), a split-pool barcoding strategy that exponentially scales throughput while reducing costs to ~1 cent per cell. With the transition from whole-cell to single-nucleus profiling, this method is able to avoid challenges in cell dissociation and minimize tissue-specific biases. Even though nuclear RNA lacks cytoplasmic transcripts, nuclei isolation enables universal application across tissues, including RNase-rich adult samples, and reduces dissociation-induced stress artifacts compared to scRNA-seq. Despite the mentioned loss of cytoplasmic transcripts, snRNA-seq retains sufficient biological signal to characterize population heterogeneity and often achieves a higher signal-to-noise ratio by avoiding sequencing of abundant mitochondrial and ribosomal transcripts. A careful optimization of sci-RNA-seq is required to mitigate artifacts like index hopping and ensure high-quality data. QC metrics such as UMI counts, gene detection, and duplication rates are lower compared to droplet-based methods but are sufficient for robust population characterization when improved. Indeed, a recent optimization to sci-RNA-seq (sci-RNA-seq3) has enhanced sensitivity. Understanding the challenges and limitations of sci-RNA-seq remains an active area of investigation and, through this work, we aim to further evaluate its performance and benchmark it against gold-standard methods."
Wed,Poster,singIST: an integrative method for comparative single-cell transcriptomics between disease models and humans,"Aitor Moruno-Cuenca,Sergio Picart-Armada,Alexandre Perera-Lluna,Francesc Fernández-Albert","Motivation: Disease models serve as fundamental tools in drug discovery and early-stage drug development. However, these models are not a perfect reflection of human disease, and selecting a suitable model can be challenging. Existing computational approaches for molecular validation of pathophysiological resemblance to human conditions at single-cell resolution remain limited. Although quantitative computational methods exist to inform this selection, they are very limited at the single-cell resolution, which can be critical for model selection. Quantifying the resemblance of disease models to the human condition with single-cell technologies in an explainable, integrative, and generalizable manner remains a significant challenge.  Results: We present singIST, a computational method for comparative single-cell transcriptomics analysis between disease models and human conditions. singIST provides explainable quantitative measures on disease model similarity to human condition at both pathway and cell type levels, highlighting the importance of each gene in the latter. These measures account for orthology, cell type presence in the disease model, cell type and gene importance in human condition, and gene changes in the disease model measured as fold change. This is achieved within a unifying framework that controls for the intrinsic complexities of single-cell data. We tested our method using three well-characterized murine models of moderate-to-severe Atopic Dermatitis, demonstrating its ability to recapitulate established biological knowledge while generating novel hypothesis through pathway-level analysis.  Availability and implementation: R library at https://github.com/DataScienceRD-Almirall/singIST and implementation code at https://github.com/DataScienceRD-Almirall/singIST_paper_results"
Wed,Poster,MotifPeeker: R package for benchmarking epigenomic profiling methods using motif enrichment as a key metric,"Hiranyamaya Dash,Thomas Roberts,Maria Weinert,Nathan Skene","MotifPeeker provides a novel benchmarking framework for epigenomic datasets where no established ""gold standard"" reference exists, using transcription factor motif enrichment as a principal evaluation metric. Traditional approaches often require comparison against a reference dataset—typically ChIP-seq data—under the unsubstantiated assumption that older methods inherently produce more reliable results. Our approach eliminates this requirement by instead measuring the biological relevance of peak calls through motif occurrence analysis. With minimal input parameters, users can analyse and compare multiple epigenomic datasets in a single function call, receiving a comprehensive and intuitive HTML report detailing relative performance metrics. MotifPeeker seamlessly integrates with existing Bioconductor workflows and supports various peak file formats, making it accessible to researchers with limited computational experience. This tool addresses a critical need in the epigenomics community for objective comparison methods as new techniques like CUT&Tag and TIP-Seq continue to emerge, enabling more robust experimental design and interpretation of results across diverse epigenomic profiling methods."
Wed,Poster,PSMatch: a Bioconductor Package for Handling Peptide-Spectrum Matches Data,"Guillaume Deflandre,Sebastian Gibb,Laurent Gatto","Loading, exploring and analysing the resulting Peptide-Spectrum Matches (PSMs) from a database search in Mass Spectrometry (MS)-based proteomics can be time-consuming. PSMatch is an R/Bioconductor package designed to handle this process by offering functionalities to streamline exploration and visualisation of PSM data. It provides functions to load PSM data from mzId or tabular files, generate theoretical fragment ions, model peptide-protein relations and facilitate visualisations.  Recent developments in PSMatch have focused on extending these functionalities to support post-translational modifications, enabling more accurate characterisation of modified peptides. Effort in identifying modified peptides is needed as it is these peptides that are expected to constitute a significant proportion of unidentified spectra. In fields such as single-cell proteomics or metaproteomics, where the identification rates pale by comparison with bulk approaches, this becomes even more prominent. Enabling users to benefit from a powerful and flexible R ecosystem to further explore these unidentified spectra is therefore paramount.  PSMatch is part of the R for Mass Spectrometry initiative, that develops an open and collaborative ecosystem of MS-based proteomics and metabolomics, offering efficient, scalable, and stable infrastructure for MS-based proteomics."
Wed,Poster,mitology: a new tool to dissect mitochondrial activity from transcriptome,"Stefania Pirrotta,Massimo Bonora,Enrica Calura","Mitochondria are highly dynamic organelles essential for energy production, biosynthetic processes, and cellular signaling. They actively process biological information, sensing and responding to both internal and external cues. Through complex physical interactions and diffusion mechanisms within cellular networks, mitochondria integrate diverse signals to finely modulate cellular functions and overall physiology. Consequently, impairments in mitochondrial function can result in a wide spectrum of phenotypic manifestations. High-throughput transcriptomic technologies are capable of capturing these mitochondrial-related changes. However, conventional pathway analysis tools based on general-purpose databases often fall short in detecting specific mitochondrial alterations. This limitation is largely due to the broad nature of pathways, where mitochondrial components typically represent only a minor fraction of the overall signaling cascades. To address this gap, we developed mitology, an R package specifically designed for the analysis of mitochondrial activity through transcriptomic data. We began by compiling a comprehensive list of genes encoding proteins localized to mitochondria, drawing from specialized resources such as MitoCarta3.0, IMPI, MSeqDR, and Gene Ontology entries with terms including “mitochondri-” word. Building on this curated gene set, mitology offers ready-to-use implementations of MitoCarta3.0 pathways and introduces a restructured view of general pathway databases like Reactome and Gene Ontology, reorganized to highlight mitochondrial-related processes. These mitochondria-focused gene sets serve as the foundation for pathway analysis, enabling single-sample evaluations that are both targeted and sensitive to mitochondrial signals. Additionally, mitology is compatible with a range of transcriptomic data types - from classical bulk RNA-seq to cutting-edge single-cell and spatial transcriptomics - allowing researchers to explore mitochondrial dynamics across diverse biological contexts. Further, it includes several graphical functions for easy interpretation and informative visualization of results. As such, mitology stands out as a versatile and powerful tool for in-depth investigation of mitochondrial function through gene expression data."
Wed,Poster,Graph-based multi-omic survival and two-class pathway analysis with MOSClip R package,"Anna Bortolato,Anna C E De Lima Tanada,Stefania Pirrotta,Ilaria Billato,Federico Agostinis,Chiara Romualdi,Paolo Martini,Enrica Calura","Genome-wide screenings across various omic technologies enhance the discovery of aberrations that synergistically contribute to the onset and progression of pathological processes. Integrating these heterogeneous data types remains challenging due to their high dimensionality and diverse features. MOSClip R package, recently made available on Bioconductor, implements a statistical method that leverages pathway topology for pathway analysis within a multi-omic framework. It supports the integration of multiple omics—such as gene expression, methylation, mutation, and copy number variation—through various dimensionality reduction strategies. Exploiting graph theory, analyses can be conducted at the level of entire pathways or pathway modules, identified through graph decomposition, allowing for a more detailed examination of affected blocks of genes within large pathways. MOSClip supports two main types of analysis: assessing the survival association of pathways or modules, and conducting two-class comparisons. Initially developed for bulk data, the two-class analysis is currently being extended to support multi-omic single-cell datasets. The package also provides multiple graphical tools to facilitate the visualization and interpretation of results. Developed with a modular structure in mind, MOSClip enables users to handle complex and large-scale datasets offering a range of customizable options, including flexible dimensionality reduction methods and statistical tests, aiming to efficiently deliver results with the best interpretability."
Wed,Poster,"Nut consumption, gut microbiota, and cognitive function: findings from a prospective study in older adults at risk of cognitive decline","Jiaqi Ni,Stephanie K. Nishi,Nancy Babio,Adrian Hernandez-Cacho,Jordi Salas-Salvadó","Background and Objectives: The diet-microbiota-gut-brain axis emerges as a promising research area for preventing neurodegenerative disorders. We examined associations between nut consumption, cognitive function changes over 6 years, and gut microbiota composition in older adults at cognitive decline risk.  Material and methods: This prospective study included participants from PREDIMED-Plus trial with overweight/obesity and metabolic syndrome who provided baseline stool samples, dietary information, and at least one follow-up cognitive assessment. Nut consumption, assessed at baseline using a validated food frequency questionnaire, was categorized as ≤1, 1–3, 3–7, and >7servings/week. Cognitive function was evaluated at baseline, 2, 4, and 6 years using a comprehensive battery of neuropsychological tests. Gut microbiota composition was profiled via 16S rRNA amplicon sequencing. Multivariable linear mixed-effects regression and linear regression models adjusting for potential confounders were used.  Results: Among 747 participants (mean age at baseline 65±5 years, 48% women) included in the final analysis, those consuming 3–7servings of nuts/week showed significantly slower declines in global cognitive function compared to those consuming ≤1serving/week (4 years: β[95%CI]=0.170[0.022,0.319], p=0.024; 6 years: 0.176[0.020,0.331], 0.027). Nut consumption was associated with higher gut microbial diversity (Shannon index 3–7vs≤1serving/week: 0.211[0.008,0.414], 0.042) and modest distinct microbial patterns (p=0.047). Thirteen taxa, including Lachnospiraceae UCG-004 and Roseburia, were associated with nut consumption, with Lachnospiraceae UCG-004 further associated with positive changes in global cognitive function (2 years: 0.020[0.004,0.036], q=0.050) and slower decline in attention (6 years: 0.042[0.020,0.064], q=0.001).  Conclusions: Moderate nut consumption was interconnectedly associated with cognitive preservation and favorable gut microbiota composition. Further longitudinal studies and clinical trials are warranted."
Wed,Poster,scYoga: Identification of cellular stress in single-cell transcriptomics data,"Bernat Gel,Miriam Magallón-Lorenz,Eduard Serra","Single-cell transcriptomics technologies allow us to explore the cellular identities and states at scale, giving us an unprecedented view of tissue composition and cellular diversity. Single-cell data, however, is complex, incomplete and noisy. There are technical and technological limitations affecting our view of each individual cell, such as limited sequencing capacity, failure to completely isolate individual cells prior to their analysis. Most of the technical noise and limitations and identified and managed through the extensive quality control steps often included in single-cell transcriptomics data analysis pipelines. This data is also affected by true biological variation in cell states, variation that reflects true biological differences in cellular state and identity. One example of such variation is the cell cycle, which might affect the global transcriptional profile of a cell and strongly impact our analysis. There are multiple approaches for the identification of cycling cells, but their management depends on the aims of our analyses, since their analysis will inform on the state of the original tissue but will limit our capacity to identify more subtle expression changes. Another source of cellular gene expression variation is cellular stress. This is an important source of variation because it might represent the state of the original tissue or might be the result of sample management in their long path from tissue resection to analysis, forcing us to detect it and take it into account in our analysis.  For this, we developed scYoga, an R package for the identification of cellular stress in single-cell transcriptomics data. The core functionality of the package is based on the detection of the combined overexpression of sets of genes associated with the different cellular stresses. It can produce a score for each cell and stress type and generate useful diagnostics plots linking stress to any variable (samples, cell types, clusters…) or to their position in dimensionality reduction plots. scYoga leverages the SingleCellExperiment container and the interoperability of the Bioconductor single-cell analysis ecosystem to provide a simple functionality that is easy to incorporate into existing data analysis pipelines."
Wed,Poster,Applying bioC packages to identify genes and pathways relevant in multi-case multiple sclerosis families.,Himanshu Saraswat,"Applying bioC packages to identify disease relevant genes and pathways in multi-case families with a complex disease. Himanshu Saraswat1, James C. Slimmer1, Jac C. Charlesworth1, Bruce V. Taylor1, Jessica L. Fletcher1, Kathryn P. Burdon1, Nicholas B. Blackburn1.  1. Menzies Institute for Medical Research, University of Tasmania, Hobart, TAS  Multiple sclerosis (MS) is a complex, chronic autoimmune, neurodegenerative, central nervous system disease influenced by genetics. Around half the risk of developing MS is due to genetics, and large case-control studies have accounted for part of this risk through common genetic variation but have been limited in their ability to identify rare genetic variants associated with MS. Approximately 10-15% of people with MS report a family history. While infrequent, rare multi-case MS families do occur. Genome sequencing in multi-case MS families is ideal for identifying rare variants that may be associated with MS risk in a family. We hypothesised that rare, likely deleterious, genetic variants segregating with MS contribute to the higher incidence of MS in six multi-case families. To identify these variants and genes that may contribute to MS in these families we combined variants prioritised from genome sequence data with Bioconductor packages. Genome sequence data was analysed with the SAREK nextflow pipeline, along with ‘bcftools’, ‘GATK’, and ‘R’. The resulting variant calls were annotated and filtered to identified rare, likely deleterious variants that segregated with MS in each family. Bioconductor packages and webtools including ‘enrichViewNet’, ‘goseq’, ‘STRING’, and ‘genemenia’ were used to analyse the resulting gene lists from each family to identify overrepresented biological pathways across families. Within each family, the number of variants prioritised for further analysis ranged from nine to 224. The number of variants depended on the size of the family studied. Across all six families, a total of 712 variants in 680 genes were identified. Narrowing down which specific variants may increase the risk for MS among the identified variants is challenging. At the gene level compelling candidates were identified in each family, with known biology supporting a putative role in MS. There was also an overlap at the gene level across families with variants in 21 genes found in two or more families. Using these gene list we first examined genes with protein coding  variants. We used Bioconductor packages to identify overlapping biological pathways in these gene lists across families. An overrepresentation of genes with rare, likely deleterious variants was identified in the following three gene ontology (GO) molecular function terms: cytoskeletal protein binding (GO:0008092, P=0.00157), microfilament motor activity (GO:0000146, P=0.0162), actin binding (GO:0003779, P = 0.010526). The analysis was then extended to include genes that had non-coding variants. Non-coding variants may also contribute to disease risk but may be more difficult to initially predict their functional effect.  This increased the number of overrepresented GO terms identified to 90 GO terms as well as identifying terms in phenotype and pathway ontologies.  This included neurogenesis (GO:0022008, P = 6.205e-08), somatodendritic compartment (GO:0036477, P=2.81e-04), cytoskeletal protein binding (GO:0008092, P=5.99e-04), and spinal dysraphism (HP:0010301  , P=2.65e-02). Through the application of Bioconductor packages this analysis has identified evidence that suggests genes involved in pathways relevant to neuronal function are involved in MS risk. This expands our understanding of the genetic architecture of MS risk."
Wed,Poster,VoltRon: A Spatial Omics Analysis Platform for Multi-Resolution and Multi-omics Integration using Image Registration,"Artür Manukyan,Ella Bahry,Erik Becher,Anna Pascual-Reguant,Emanuel Wyler,Anja Hauser,Helena Radbruch,Deborah Schmidt,Andreas Hocke,Markus Landthaler,Altuna Akalin","The growing number of spatial omic technologies have created a demand for computational tools capable of storing, analyzing, and integrating spatial datasets with multiple modalities and diverse spatial resolutions. Meanwhile, image processing is becoming an integral part of analyzing spatial data readouts where image registration and alignment of tissue sections is essential for accurate spatially aware data integration. Hence, there is a need for computational platforms that process and analyze images of microanatomical tissue structures as well as those that integrate datasets across distinct spatial resolutions and microscopy images. To this end, we have developed VoltRon, an R package for end-to-end spatial omics analysis with comprehensive image processing capabilities and a novel spatial data framework that supports a large selection of distinct spatial resolutions. To connect and integrate spatial multi-omic profiles across adjacent/serial tissue sections, VoltRon incorporates scalable computer vision workflows for automated synchronization of spatial coordinates and images. VoltRon accounts for spatial organization of tissue blocks (samples), layers (sections) and assays given a multi-resolution and agnostic collection of spatial data readouts. Our tool offers a unique data structure that accommodates data readouts with many levels of spatial resolutions (i.e., multi-resolution). These include spots, single cells, and molecules as well as regions of interest (ROIs) and even image tiles/pixels that are often ignored in currently available spatial omic analysis platforms. Hence, VoltRon (i) is capable of bulk-like analysis of ROI-based spatial datasets, (ii) paves the way for pixel-level analysis of images and (iii) provides downstream analysis of spatially-resolved subcellular observations. VoltRon performs information transfer across tissue sections and multiple modalities which we demonstrate by integrating the pathology driven analysis onto spatially localised SARS-CoV-2 viral RNAs within infected lung tissue using image co-registration of histological images. VoltRon is currently available in GitHub (https://github.com/BIMSBbioinfo/VoltRon) and more information on VoltRon framework can be found on https://bioinformatics.mdc-berlin.de/VoltRon."
Wed,Poster,LimROTS: A Hybrid Method Integrating Empirical Bayes and Reproducibility-Optimized Statistics for Robust Differential Expression Analysis,"Ali Mostafa Anwar,Akewak Jebab,Leo M Lahti,Eleanor Coffey","-Motivation- Differential expression analysis plays a vital role in omics research, as it enables the precise identification of features that are specifically associated with different phenotypes. This process is critical for uncovering biological differences between conditions, such as disease versus healthy states. In proteomics, several statistical methods have been used, ranging from simple t-tests to more sophisticated methods like limma and ROTS.  -Results- In this study, we developed LimROTS, a hybrid method integrating the linear model and the empirical Bayes method from the limma framework with Reproducibility-Optimized Statistics from ROTS, by introducing a novel moderated ranking statistic, for robust and flexible analysis of proteomics data. We validated its performance using twenty-one proteomics gold standard spike-in datasets with different protein mixtures, MS instruments, and techniques for benchmarking. This hybrid approach improves accuracy and reproducibility in proteomics. Additionally, it could be potentially applicable to other omics such as transcriptomics and metabolomics, making LimROTS a powerful tool for high-dimensional omics data analysis. -Availability and Implementation- LimROTS has been implemented as an R/Bioconductor, available at  https://bioconductor.org/packages/LimROTS/."
Wed,Poster,A study of the genetic circuits of intestinal stem cell differentiation using in vivo CRISPR perturbation and single-cell RNA-seq,"Anastasiia Horlova,Siamak Redhai,Stefan Peidli,Michael Boutros,Wolfgang Huber","Understanding how genetic networks enable animals to develop and maintain complex tissues is a central goal of biological research. The Drosophila midgut is a well-established and important model system that has enabled many discoveries that generalize to other animals, including humans. The gut has remarkable plasticity, high self-renewal, and is prominently exposed to environmental factors.   Our research investigates how intestinal stem cells (ISCs) contribute to the generation of differentiated cell types in the Drosophila midgut. We use single-cell transcriptomic data from in vivo CRISPR gene knockdown experiments that specifically affect Drosophila melanogaster ISCs, in their native context within healthy adult animals. Our goal is to systematically examine the consequences of single gene perturbations on cellular behaviour. The dataset comprises sc-RNAseq transcriptomic profiles of 427,549 cells from 61 replicate experiments of 28 unique genetic perturbations.   In our analysis workflow we preprocess and filter the data to eliminate low-quality cells. We pool the wild type samples and integrate them via the Harmony algorithm. We use clustering and marker gene expression to annotate cell-types. We annotate perturbed cells using a reference-based k-nearest neighbors classifier. We examine differential gene expression via pseudo-bulk DESeq2 analysis, and evaluate changes in cell-type proportions via compositional analysis. We use lineage inference to identify transcription factors involved in differentiation. Gene set enrichment analysis will help identify pathways associated with ISC differentiation. Shared pathways, transcriptional factors, and gene expression changes across perturbations will be analyzed to reveal underlying genetic network dynamics. We use dimensionality reduction and visual summaries (e.g., UMAPs, heatmaps, volcano plots) to support biological  interpretation of the data.   Ultimately, this work aims to offer novel insights into genetic network dynamics, advancing our understanding of cellular differentiation and organ development."
Wed,Poster,ribomsqc: a Nextflow pipeline for automated QC of ribonucleoside MS data using MSnbase,Roger Olivella,"We present ribomsqc, an automated quality control (QC) pipeline tailored for ribonucleoside analysis by mass spectrometry. Designed to address the challenges of manual analysis of QC samples in large-scale experiments, ribomsqc relies on the Bioconductor R package MSnbase for robust handling of raw MS data, enabling consistent monitoring of instrument performance. Built with Nextflow and aligned with nf-core standards, the pipeline integrates chromatogram-based metrics and MultiQC reports for comprehensive visualization of key analytical figures. ribomsqc offers a scalable and reproducible solution for QC in post-transcriptional RNA modification research, making it particularly relevant to the Bioconductor community."
Thu,Poster,"e-OMIX, a new visual interface for analyzing and managing omics data","Molka Anaghim Ftouhi,Loïc Guille,Jérôme Linden,Sébastien Jodogne,Laurent Gatto","The e-OMIX project (https://www.eomix.be) aims to lower the barrier of entry into omics research by providing an interactive platform where users will be able to perform analyses, as well as storing the resulting data and metadata, without the need for advanced coding skills. e-OMIX is developed under AGPL 3 license as an Angular/Java-based web-app, making use of several innovative technologies. Pre-built pipelines are implemented from nf-core, a repository of publicly available workflows, maximizing their reproducibility and ease of use. Result matrices are stored in a database optimized for fast querying of large datasets (TileDB) and can be exported in several objects notably 'Bioconductor's SingleCell Expriment (SCE) or other (anndata, or Seurat), while metadata are stored as per-sample individual documents in a document-oriented database (CouchDB). To increase the interoperability of metadata, e-OMIX also offers the possibility to manage and export them using Fast Healthcare Interoperability Resources (FHIR), a widely used standard in healthcare and clinical research. Finally, data visualization is made possible by using the iSEE R/Biocondutor package. As a first use case, we demonstrate the end-to-end execution of single-cell RNA-seq pipeline, starting from metadata and raw files upload, and leading to actionable data, such as annotated cell types, individual gene expression or marker gene identification."
Thu,Poster,HiCaptuRe: An R Package for Standardized Processing and Integration of Capture Hi-C Data,Laureano Tomas-Daza,"Capture Hi-C (CHi-C) has emerged as a powerful technique for exploring long-range chromatin interactions, particularly for investigating gene regulation. However, existing computational tools often focus on specific analytical steps (e.g., interaction calling or differential analysis), lacking the flexibility to support comprehensive data handling workflows tailored to the structure of capture-based protocols. While Bioconductor packages like GenomicInteractions provide useful infrastructure for chromatin contact data, they are not optimized for CHi-C pipelines. Conversely, specialized tools such as CHiCAGO and Chicdiff offer focused statistical frameworks but limited support for integration or downstream analysis.  To fill this gap, we present HiCaptuRe, a Bioconductor-compatible R package for streamlined processing, standardization, and integration of Capture Hi-C and related interaction datasets. Designed with capture-specific workflows in mind, HiCaptuRe distinguishes between baited and non-baited fragments and supports multiple input formats — including native CHiCAGO outputs, BEDPE, and track files for genome browsers — allowing flexibility across a range of interaction capture technologies (e.g., HiChIP, PCHi-C[1], liCHi-C[2]).  HiCaptuRe’s preprocessing module resolves duplicated interactions, enforces consistent formatting, and stores results in a structured HiCaptuRe object. This object maintains interaction data alongside detailed metadata, ensuring transparency and reproducibility throughout the analysis pipeline.  The package enables integrative analysis through two complementary approaches:  - interactionsByBaits supports bait-centered workflows (e.g., gene promoter CHi-C), facilitating integration with transcriptomic data such as RNA-seq. - interactionsByRegions allows region-centered exploration, particularly suited for linking interaction data with epigenomic profiles (e.g., ATAC-seq, CUT&RUN).  These dual strategies enable both hypothesis-driven and exploratory multi-omics analyses, making HiCaptuRe a valuable tool for researchers studying transcriptional regulation and non-coding genome function.  HiCaptuRe also offers functionality for comparative analysis, enabling users to identify condition-specific chromatin contacts — a critical feature for dissecting dynamic processes like cellular differentiation or disease progression.  To ensure scalability, HiCaptuRe integrates data.table-based data handling and includes caching mechanisms to improve runtime performance. The package’s modular design makes it easily extensible and adaptable to custom workflows within the Bioconductor ecosystem.  To broaden accessibility, a Shiny web application is in development, designed for non-programming users. This graphical interface allows wet-lab scientists to upload, explore, and analyze CHi-C datasets without writing code, bridging the gap between data generation and biological interpretation.  In summary, HiCaptuRe complements the Bioconductor suite by offering a capture-aware, integration-ready, and user-friendly solution for analyzing chromatin interaction data. By combining preprocessing, standardization, and multi-omics integration within a coherent R framework, HiCaptuRe facilitates deeper insights into 3D genome organization and its role in gene regulation and disease. The package is open-source, actively developed, and open to community contributions and suggestions. HiCaptuRe is currently being prepared for official submission to Bioconductor, where it will continue to evolve as part of the collaborative, reproducibility-focused ecosystem supporting genomic data analysis in R.      [1] Javierre, B. M. et al. Lineage-Specific Genome Architecture Links Enhancers and Non-coding Disease Variants to Target Gene Promoters. Cell 167, 1369–1384.e19 (2016).   [2] Tomás-Daza, L. et al. Low input capture Hi-C (liCHi-C) identifies promoter-enhancer interactions at high-resolution. Nature communications 14, 268 (2023)."
Thu,Poster,A Reproducible R Workflow for Flow Cytometry Data Analysis,"Anastasiya Boersch,Robert Ivanek","Over the past decade, flow cytometry technologies have advanced significantly, now enabling the simultaneous measurement of up to 50 parameters per cell and offering a great analytical potential. However, it also presents substantial challenges, especially when working with large numbers of samples, making the traditional analysis tool FlowJo less suited for handling such complexity. In contrast, Bioconductor provides multiple R packages and workflows that support comprehensive flow cytometry data analysis, including automated data-driven gating and rich visualization capabilities. Nonetheless, the heterogeneity of data structures and often limited documentation across packages can hinder seamless integration and usability.  To address these challenges, we developed an R workflow that streamlines key steps of flow cytometry data analysis and ensures the reproducibility of obtained results: compensation (optional), transformation, quality control, batch correction (optional), gating, and the extraction of gating statistics. This workflow is designed to run locally, making advanced cytometric analysis more accessible and customizable for researchers."
